Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Close_Lag1,Close_Lag7,MA_7,MA_30,Volatility_7,Price_Change,Return,DayOfWeek,Month,Price_Change_Direction
1/1/2018,13715.65,13818.55,12750,0.125486989,0.010926987,00:00.0,114799747.4,105595,3961.938946,52809747.44,0,0.33225232,0.330749491,0.331089123,0.32737022,0.176152027,0.48333069,0.671333364,0,0,0
1/2/2018,13382.16,15473.49,12890.02,0.141469973,0.026008668,00:00.0,279717107.4,177728,11346.32674,158080088.7,0,0.125486989,0.330749491,0.331089123,0.32737022,0.176152027,0.570110714,0.833053395,0.166666667,0,1
1/3/2018,14690,15307.56,14150,0.144486119,0.020521556,00:00.0,236116868.3,162787,8994.953566,133587333.2,0,0.141469973,0.330749491,0.331089123,0.32737022,0.176152027,0.498232302,0.697316468,0.333333333,0,1
1/4/2018,14919.51,15280,13918.04,0.146214233,0.027654579,00:00.0,312781583.8,170310,12680.81295,186116793,0,0.144486119,0.330749491,0.331089123,0.32737022,0.176152027,0.491092416,0.685005779,0.5,0,1
1/5/2018,15059.56,17176.24,14600,0.169672669,0.030181973,00:00.0,369321956.5,192969,13346.62229,211829900.7,0,0.146214233,0.330749491,0.331089123,0.32737022,0.176152027,0.611549007,0.882896474,0.666666667,0,1
1/6/2018,16960.39,17143.13,16011.21,0.171022777,0.024027309,00:00.0,309216921,158242,11007.16406,183417769.1,0,0.169672669,0.330749491,0.331089123,0.32737022,0.176152027,0.488997037,0.680034023,0.833333333,0,1
1/7/2018,17069.79,17099.96,15610,0.159671996,0.016033757,00:00.0,206194706.4,120269,6779.320508,112151163.1,0,0.171022777,0.330749491,0.150033237,0.32737022,0.277809519,0.418592847,0.577846283,1,0,0
1/8/2018,16218.85,16322.3,12812,0.144276692,0.034586365,00:00.0,396569997.2,208642,13756.84439,206049582.1,0,0.159671996,0.125486989,0.152721,0.32737022,0.214202562,0.396173043,0.53827802,0,0,0
1/9/2018,14902.54,15500,14011.05,0.138074834,0.018429691,00:00.0,210630187.5,156656,6841.233287,100698572.9,0,0.144276692,0.141469973,0.152235345,0.32737022,0.224321181,0.447134605,0.611993,0.166666667,0,0
1/10/2018,14401,14955.66,13131.31,0.144332844,0.022501205,00:00.0,244011366.8,161476,8529.554675,119570139.8,0,0.138074834,0.144486119,0.152213419,0.32737022,0.224609447,0.51620276,0.728753162,0.333333333,0,1
1/11/2018,14940,14968.68,11400,0.12374419,0.043731649,00:00.0,446587594.7,239416,16422.01998,218762237.4,0,0.144332844,0.146214233,0.148999204,0.32737022,0.29331101,0.367385011,0.479556031,0.5,0,0
1/12/2018,13238.76,14109.78,12500,0.129929881,0.021194217,00:00.0,222516076.3,134452,8117.312075,110040020.2,0,0.12374419,0.169672669,0.143314217,0.32737022,0.276646631,0.515801881,0.733235059,0.666666667,0,1
1/13/2018,13749.95,14580,13706.15,0.135730039,0.015676556,00:00.0,173086488.5,123639,5574.178408,78958098.95,0,0.129929881,0.171022777,0.138265786,0.32737022,0.195624184,0.513664772,0.727044789,0.833333333,0,1
